"season","training.date","athlete","tl"
"Fall 2017","2017-09-10","Shajee'a al-Amiri",1287
"Fall 2017","2017-09-10","Urja Chaudhry",450
"Fall 2017","2017-09-10","Kayla Mix",644
"Fall 2017","2017-09-10","Cinoi Slovonsky",965
"Fall 2017","2017-09-10","Mariana Lewis",193
"Fall 2017","2017-09-10","Rhiannon Garcia",193
"Fall 2017","2017-09-10","Marshelle Edwards",901
"Fall 2017","2017-09-10","Nicole Tipton",772
"Fall 2017","2017-09-11","Shajee'a al-Amiri",0
"Fall 2017","2017-09-11","Rhiannon Garcia",0
"Fall 2017","2017-09-11","Urja Chaudhry",0
"Fall 2017","2017-09-11","Brittany Valdez",0
"Fall 2017","2017-09-11","Mariana Lewis",0
"Fall 2017","2017-09-11","Nicole Tipton",0
"Fall 2017","2017-09-11","Marshelle Edwards",0
"Fall 2017","2017-09-11","Cinoi Slovonsky",0
"Fall 2017","2017-09-11","Kayla Mix",0
"Fall 2017","2017-09-12","Brittany Valdez",0
"Fall 2017","2017-09-12","Urja Chaudhry",0
"Fall 2017","2017-09-12","Shajee'a al-Amiri",0
"Fall 2017","2017-09-12","Nicole Tipton",0
"Fall 2017","2017-09-12","Marshelle Edwards",0
"Fall 2017","2017-09-12","Cinoi Slovonsky",0
"Fall 2017","2017-09-12","Rhiannon Garcia",0
"Fall 2017","2017-09-12","Kayla Mix",0
"Fall 2017","2017-09-12","Mariana Lewis",0
"Fall 2017","2017-09-13","Brittany Valdez",760
"Fall 2017","2017-09-13","Shajee'a al-Amiri",883
"Fall 2017","2017-09-13","Urja Chaudhry",693
"Fall 2017","2017-09-13","Kayla Mix",816
"Fall 2017","2017-09-13","Rhiannon Garcia",760
"Fall 2017","2017-09-13","Nicole Tipton",883
"Fall 2017","2017-09-13","Marshelle Edwards",1140
"Fall 2017","2017-09-13","Cinoi Slovonsky",760
"Fall 2017","2017-09-13","Mariana Lewis",760
"Fall 2017","2017-09-14","Urja Chaudhry",455
"Fall 2017","2017-09-14","Rhiannon Garcia",260
"Fall 2017","2017-09-14","Shajee'a al-Amiri",325
"Fall 2017","2017-09-14","Brittany Valdez",325
"Fall 2017","2017-09-14","Mariana Lewis",260
"Fall 2017","2017-09-14","Nicole Tipton",260
"Fall 2017","2017-09-14","Marshelle Edwards",455
"Fall 2017","2017-09-14","Cinoi Slovonsky",260
"Fall 2017","2017-09-14","Kayla Mix",325
"Fall 2017","2017-09-15","Mariana Lewis",660
"Fall 2017","2017-09-15","Brittany Valdez",880
"Fall 2017","2017-09-15","Urja Chaudhry",562
"Fall 2017","2017-09-15","Kayla Mix",782
"Fall 2017","2017-09-15","Nicole Tipton",880
"Fall 2017","2017-09-15","Marshelle Edwards",684
"Fall 2017","2017-09-15","Rhiannon Garcia",440
"Fall 2017","2017-09-15","Cinoi Slovonsky",782
"Fall 2017","2017-09-15","Shajee'a al-Amiri",318
"Fall 2017","2017-09-16","Brittany Valdez",493
"Fall 2017","2017-09-16","Shajee'a al-Amiri",1492
"Fall 2017","2017-09-16","Urja Chaudhry",866
"Fall 2017","2017-09-16","Kayla Mix",1239
"Fall 2017","2017-09-16","Cinoi Slovonsky",1132
"Fall 2017","2017-09-16","Nicole Tipton",999
"Fall 2017","2017-09-16","Marshelle Edwards",386
"Fall 2017","2017-09-16","Rhiannon Garcia",386
"Fall 2017","2017-09-16","Mariana Lewis",879
"Fall 2017","2017-09-17","Urja Chaudhry",0
"Fall 2017","2017-09-17","Rhiannon Garcia",0
"Fall 2017","2017-09-17","Shajee'a al-Amiri",0
"Fall 2017","2017-09-17","Brittany Valdez",0
"Fall 2017","2017-09-17","Mariana Lewis",0
"Fall 2017","2017-09-17","Nicole Tipton",0
"Fall 2017","2017-09-17","Marshelle Edwards",0
"Fall 2017","2017-09-17","Cinoi Slovonsky",0
"Fall 2017","2017-09-17","Kayla Mix",0
"Fall 2017","2017-09-18","Kayla Mix",534
"Fall 2017","2017-09-18","Brittany Valdez",832
"Fall 2017","2017-09-18","Shajee'a al-Amiri",712
"Fall 2017","2017-09-18","Urja Chaudhry",712
"Fall 2017","2017-09-18","Cinoi Slovonsky",534
"Fall 2017","2017-09-18","Nicole Tipton",654
"Fall 2017","2017-09-18","Marshelle Edwards",1014
"Fall 2017","2017-09-18","Rhiannon Garcia",534
"Fall 2017","2017-09-18","Mariana Lewis",712
"Fall 2017","2017-09-19","Urja Chaudhry",468
"Fall 2017","2017-09-19","Brittany Valdez",468
"Fall 2017","2017-09-19","Rhiannon Garcia",468
"Fall 2017","2017-09-19","Shajee'a al-Amiri",702
"Fall 2017","2017-09-19","Mariana Lewis",468
"Fall 2017","2017-09-19","Nicole Tipton",585
"Fall 2017","2017-09-19","Marshelle Edwards",702
"Fall 2017","2017-09-19","Cinoi Slovonsky",468
"Fall 2017","2017-09-19","Kayla Mix",468
"Fall 2017","2017-09-20","Brittany Valdez",468
"Fall 2017","2017-09-20","Urja Chaudhry",468
"Fall 2017","2017-09-20","Shajee'a al-Amiri",585
"Fall 2017","2017-09-20","Nicole Tipton",468
"Fall 2017","2017-09-20","Marshelle Edwards",468
"Fall 2017","2017-09-20","Cinoi Slovonsky",351
"Fall 2017","2017-09-20","Rhiannon Garcia",468
"Fall 2017","2017-09-20","Kayla Mix",351
"Fall 2017","2017-09-20","Mariana Lewis",468
"Fall 2017","2017-09-21","Shajee'a al-Amiri",230
"Fall 2017","2017-09-21","Brittany Valdez",460
"Fall 2017","2017-09-21","Urja Chaudhry",345
"Fall 2017","2017-09-21","Mariana Lewis",230
"Fall 2017","2017-09-21","Nicole Tipton",805
"Fall 2017","2017-09-21","Marshelle Edwards",460
"Fall 2017","2017-09-21","Cinoi Slovonsky",230
"Fall 2017","2017-09-21","Rhiannon Garcia",115
"Fall 2017","2017-09-21","Kayla Mix",115
"Fall 2017","2017-09-22","Shajee'a al-Amiri",496
"Fall 2017","2017-09-22","Brittany Valdez",496
"Fall 2017","2017-09-22","Urja Chaudhry",372
"Fall 2017","2017-09-22","Rhiannon Garcia",496
"Fall 2017","2017-09-22","Kayla Mix",124
